Date,Forecasted pct_change,Actual pct_change,product_id
2024-07-12,0.03292646933820827,-0.0577053632043449,ADA-USD
2024-07-13,0.032695227014346365,0.023390458545623,ADA-USD
2024-07-14,0.033325130973043696,-0.0298809256346888,ADA-USD
2024-07-15,0.03346909449265073,0.0157462345960748,ADA-USD
2024-07-16,0.03416083603529113,0.0048154093097914,ADA-USD
2024-07-17,0.03416083603529724,-0.0061531449407475,ADA-USD
2024-07-18,0.03340110824357692,-0.9968556073092082,ADA-USD
2024-07-12,-0.008223951687462896,0.0038654812524159,AVAX-USD
2024-07-13,-0.008553726817887332,-0.0170972644376899,AVAX-USD
2024-07-14,-0.00708431203869983,-0.0549371633752244,AVAX-USD
2024-07-15,-0.006449048112891594,-0.0064216910453085,AVAX-USD
2024-07-16,-0.006541608855312927,0.0290014684287813,AVAX-USD
2024-07-17,-0.006541608858033872,-0.0112522686025409,AVAX-USD
2024-07-18,-0.006403001465672371,1.1626501295235103,AVAX-USD
2024-07-12,0.0196913933878162,-0.0222129055199716,BTC-USD
2024-07-13,0.018827127093191967,-0.0260463929172966,BTC-USD
2024-07-14,0.0199331581369148,-0.0609776586866996,BTC-USD
2024-07-15,0.020192053599259845,-0.0050980972357996,BTC-USD
2024-07-16,0.020859688440242434,0.0156536993134672,BTC-USD
2024-07-17,0.02085968849487008,-0.0086671881726526,BTC-USD
2024-07-18,0.019894622968757412,-0.0086671881726526,BTC-USD
2024-07-12,0.020188923353961066,0.0090469177361667,COMP-USD
2024-07-13,0.020849134151632392,-0.0571315215235072,COMP-USD
2024-07-14,0.022685910174265266,-0.0333652924256951,COMP-USD
2024-07-15,0.022847870978995925,0.0077294685990338,COMP-USD
2024-07-16,0.01829874316514293,0.0151039623381719,COMP-USD
2024-07-17,0.018298744039153384,-0.0150695517774342,COMP-USD
2024-07-18,0.0230341005271126,5.374384236453202,COMP-USD
2024-07-12,0.034503179608680226,-0.0131141967633179,ETH-USD
2024-07-13,0.03554863666774992,-0.0214608271366876,ETH-USD
2024-07-14,0.029169597952807463,-0.0687030784280537,ETH-USD
2024-07-15,0.03633523288405695,0.0113732965442006,ETH-USD
2024-07-16,0.03753130894178615,0.017482176858699,ETH-USD
2024-07-17,0.03753130896159684,-0.0094103748066312,ETH-USD
2024-07-18,0.05046768134966534,-0.9409482424416364,ETH-USD
2024-07-12,0.05097295170382502,-0.0216573227862683,LINK-USD
2024-07-13,0.05111206793923258,-0.0326151560178306,LINK-USD
2024-07-14,0.05327003927278994,-0.0654724710129833,LINK-USD
2024-07-15,0.05402654732042696,0.0132967496834106,LINK-USD
2024-07-16,0.054317214250051836,0.0339710482287045,LINK-USD
2024-07-17,0.054317214248238044,-0.0075084831420114,LINK-USD
2024-07-18,0.054027732764422486,32.26368876080692,LINK-USD
2024-07-12,0.02872646380839695,-0.0080171796707227,LTC-USD
2024-07-13,0.02963054723176715,-0.0015723270440251,LTC-USD
2024-07-14,0.028554967399513437,-0.0329001935305502,LTC-USD
2024-07-15,0.028067942171103647,-0.0122883670125613,LTC-USD
2024-07-16,0.03478965078064895,0.0260577192490893,LTC-USD
2024-07-17,0.03478965074188627,-0.0119047619047618,LTC-USD
2024-07-18,0.028374840084253842,1.7816711590296497,LTC-USD
2024-07-12,0.022235360220029865,-0.0446243645264545,MATIC-USD
2024-07-13,0.020263798936888892,1e-05,MATIC-USD
2024-07-14,0.020910288881465327,-0.0322521865889211,MATIC-USD
2024-07-15,0.020919921874625096,0.0095658572479764,MATIC-USD
2024-07-16,0.02104303912955158,0.0075996292863762,MATIC-USD
2024-07-17,0.02104303913025388,-0.0158701203940168,MATIC-USD
2024-07-18,0.020894757627051112,-0.9885696413678065,MATIC-USD
2024-07-12,0.07670930160425195,-0.0167688297047839,SOL-USD
2024-07-13,0.07804752722878623,-0.0390006093845215,SOL-USD
2024-07-14,0.08061577120604169,-0.0743340645565654,SOL-USD
2024-07-15,0.08210899313389794,-0.0070944053768123,SOL-USD
2024-07-16,0.08086206941889212,0.0333097549996785,SOL-USD
2024-07-17,0.0808620694156163,-0.0186786142487537,SOL-USD
2024-07-18,0.08235140678127421,-0.9494521618474984,SOL-USD
2024-07-12,0.040496537497870924,-0.0042918454935622,UNI-USD
2024-07-13,0.04197668285732079,-0.0319325735992402,UNI-USD
2024-07-14,0.04544332404777442,-0.0195530726256984,UNI-USD
2024-07-15,0.046288543559065747,0.0507521095756391,UNI-USD
2024-07-16,0.04648527465368658,0.0320585636753754,UNI-USD
2024-07-17,0.04648527464054602,-0.0082613593691325,UNI-USD
2024-07-18,0.046241539496386624,-0.8847019771972868,UNI-USD
